category,id,display_name,tree,parents,starts_unlocked
material,scrap,Scrap,-,,
material,ingot,Scrap Ingot,-,,
output,robot,Robot,-,,
tool,belt,Belt,Machines,,
tool,splitter,Splitter,Machines,,
tool,merger,Merger,Machines,,
machine,depo,Depo,-,,
machine,shuttle,Shuttle,-,,
machine,forge,Forge,Machines,,
machine,crafter,Crafter,Machines,,
machine,assembler,Assembler,Machines,,
machine,bank,Bank,Machines,,
part,head_boxer,Scrap Boxer Head,Robot Parts,,
part,head_warrior,Scrap Warrior Head,Robot Parts,,
part,head_hunter,Scrap Hunter Head,Robot Parts,,
part,torso_boxer,Scrap Boxer Torso,Robot Parts,,
part,torso_warrior,Scrap Warrior Torso,Robot Parts,,
part,torso_hunter,Scrap Hunter Torso,Robot Parts,,
part,legs_boxer,Scrap Boxer Legs,Robot Parts,,
part,legs_warrior,Scrap Warrior Legs,Robot Parts,,
part,legs_hunter,Scrap Hunter Legs,Robot Parts,,
part,arms_boxer,Scrap Boxer Fists,Robot Parts,,
part,arms_warrior,Scrap Warrior Spear,Robot Parts,,
part,arms_hunter,Scrap Hunter Rifle,Robot Parts,,
